Detector geometry infos
Layer / Ladder / Module / Mid_Strip / Mid_Segment / Xrange / Yrange / Zrange / Xmid / Ymid / Zmid
5 / 2 / 32 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 4.3948
5 / 2 / 33 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 8.39258
5 / 2 / 34 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 12.9688
5 / 2 / 35 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 16.6332
5 / 2 / 36 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 21.3275
5 / 2 / 37 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 24.6669
5 / 2 / 38 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 29.4764
5 / 2 / 39 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 32.499
5 / 2 / 40 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 37.4207
5 / 2 / 41 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 40.1344
5 / 2 / 42 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 45.1656
5 / 2 / 43 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 47.5782
5 / 2 / 44 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 52.716
5 / 2 / 45 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 54.8351
5 / 2 / 46 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 22.002 / 9.11353 / 60.0769
5 / 2 / 47 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48144 / 21.4436 / 8.88224 / 61.9098
5 / 2 / 48 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 67.253
5 / 2 / 49 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 68.8069
5 / 2 / 50 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 74.249
5 / 2 / 51 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 75.5308
5 / 2 / 52 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 81.0693
5 / 2 / 53 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 82.0859
5 / 2 / 54 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 87.7184
5 / 2 / 55 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 88.4765
5 / 2 / 56 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 94.2006
5 / 2 / 57 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 94.7067
5 / 2 / 58 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 100.52
5 / 2 / 59 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 100.78
5 / 2 / 60 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 106.681
5 / 2 / 61 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 21.4436 / 8.88224 / 106.702
5 / 2 / 62 / 479.5 / 15.5 / -3.66993 / 8.86001 / 4.48143 / 22.002 / 9.11353 / 112.687
5 / 3 / 0 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -112.687
5 / 3 / 1 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -106.702
5 / 3 / 2 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.5367 / 15.5367 / -106.681
5 / 3 / 3 / 479.5 / 15.5 / -6.78115 / 6.78115 / 4.48143 / 15.1093 / 15.1093 / -100.781
